id,cut,color,clarity,x,y,z,price
0,Premium,D,SI2,4.31,4.28,2.68,6.353
1,Ideal,E,VVS2,6.42,6.46,4.04,9.183
2,Ideal,F,VS2,5.71,5.74,3.54,7.983
3,Very Good,G,SI2,6.54,6.5,4.12,8.371
4,Premium,G,VS1,4.5,4.55,2.82,6.588
5,Ideal,F,VS1,5.18,5.2,3.19,7.496
6,Premium,H,SI1,7.69,7.63,4.76,8.979
7,Ideal,E,VVS2,4.53,4.56,2.72,6.877
8,Very Good,E,VS2,4.36,4.39,2.75,6.554
9,Ideal,E,VVS2,4.16,4.12,2.56,6.683
10,Ideal,D,SI1,5.52,5.58,3.39,7.484
11,Ideal,G,VS2,4.34,4.37,2.67,6.353
12,Ideal,F,VS1,5.2,5.15,3.21,7.554
13,Very Good,H,VS1,5.67,5.72,3.54,7.671
14,Very Good,H,SI1,5.71,5.76,3.58,7.794
15,Very Good,I,VS2,6.89,6.93,4.34,8.727
16,Ideal,D,SI1,5.71,5.76,3.56,8.087
17,Ideal,G,SI1,4.38,4.41,2.74,6.23
18,Ideal,G,VS1,5.18,5.22,3.2,7.451
19,Premium,G,VVS1,4.9,4.92,2.91,7.072
20,Premium,E,SI2,6.54,6.5,4.02,8.445
21,Ideal,I,VVS1,5.38,5.4,3.36,7.365
22,Fair,I,SI1,7.52,7.57,4.28,8.976
23,Ideal,G,IF,4.33,4.35,2.69,6.76
24,Fair,F,VS1,6.28,6.25,4.09,8.671
25,Ideal,F,VVS1,5.15,5.17,3.17,7.911
26,Premium,G,VS2,7.04,6.95,4.07,8.961
27,Ideal,G,IF,4.78,4.75,2.97,7.266
28,Ideal,E,VS1,4.84,4.8,2.97,7.074
29,Premium,H,SI2,6.74,6.66,4.15,8.456
30,Premium,I,SI1,6.86,6.8,4.24,8.606
31,Very Good,H,SI1,5.06,5.15,3.11,7.033
32,Premium,G,SI1,4.34,4.31,2.7,6.385
33,Ideal,D,VS2,5.33,5.28,3.26,7.633
34,Ideal,H,SI2,4.42,4.46,2.75,6.04
35,Ideal,J,SI1,5.77,5.81,3.57,7.525
36,Very Good,H,SI1,6.54,6.51,4.14,8.573
37,Good,D,SI1,4.3,4.32,2.72,6.347
38,Ideal,G,IF,4.44,4.45,2.75,6.852
39,Ideal,E,SI2,5.71,5.74,3.55,7.631
40,Premium,H,SI2,8.82,8.76,5.37,9.626
41,Good,H,SI1,6.24,6.31,4.07,8.361
42,Ideal,D,VS2,4.64,4.6,2.83,7.025
43,Ideal,E,VVS1,4.33,4.37,2.67,6.797
44,Very Good,J,SI1,7.59,7.64,4.71,9.09
45,Ideal,I,VS2,4.39,4.34,2.75,6.356
46,Premium,E,VS1,5.14,5.1,3.21,7.866
47,Ideal,G,VS1,4.52,4.57,2.75,6.579
48,Ideal,H,SI1,6.82,6.87,4.24,8.971
49,Very Good,D,VS1,5.68,5.75,3.5,8.179
50,Premium,F,SI1,6.86,6.83,4.23,8.837
51,Premium,D,SI1,7.68,7.6,4.51,9.412
52,Very Good,E,VS2,5.69,5.73,3.57,8.115
53,Very Good,I,SI1,4.42,4.46,2.77,5.961
54,Ideal,E,SI1,5.24,5.26,3.23,7.483
55,Ideal,I,SI2,6.38,6.35,3.98,8.094
56,Premium,G,VS1,4.32,4.29,2.66,6.654
57,Very Good,F,SI2,6.3,6.38,4.02,8.302
58,Ideal,E,IF,4.61,4.67,2.91,7.268
59,Ideal,E,VS2,4.8,4.77,2.97,6.931
60,Ideal,E,SI1,5.84,5.8,3.59,7.93
61,Ideal,F,SI1,5.66,5.75,3.53,7.71
62,Good,D,SI2,5.48,5.53,3.29,7.261
63,Ideal,F,I1,6.84,6.8,4.23,8.384
64,Ideal,G,SI1,6.96,6.9,4.31,8.936
65,Very Good,G,SI1,6.88,6.84,4.34,8.976
66,Premium,D,VS1,4.72,4.66,2.93,7.09
67,Premium,H,VVS1,4.29,4.32,2.7,6.528
68,Ideal,I,VVS1,4.34,4.31,2.65,6.564
69,Ideal,E,SI2,5.94,5.98,3.7,8.039
70,Ideal,E,VS2,4.36,4.38,2.74,6.554
71,Ideal,G,VS1,5.1,5.13,3.19,7.432
72,Ideal,D,VS1,5.84,5.87,3.61,8.384
73,Premium,G,SI1,4.93,4.88,2.99,6.898
74,Ideal,D,VS1,5.8,5.82,3.57,8.195
75,Ideal,D,SI2,6.46,6.43,4.05,8.469
76,Premium,G,SI1,5.38,5.37,3.32,7.406
77,Very Good,G,SI1,5.64,5.67,3.56,7.73
78,Very Good,G,VVS1,6.59,6.67,4.07,9.133
79,Ideal,F,VS1,4.36,4.32,2.66,6.594
80,Good,G,SI1,5.82,5.7,3.68,7.777
81,Premium,G,VVS1,6.87,6.79,4.05,9.09
82,Ideal,D,SI1,5.24,5.26,3.27,7.364
83,Premium,I,VS1,5.9,5.85,3.68,7.834
84,Premium,I,VS2,5.12,5.08,3.21,7.072
85,Good,J,VS2,8.51,8.46,4.85,9.357
86,Ideal,G,VVS1,4.55,4.52,2.85,6.959
87,Ideal,E,VVS2,7.0,6.98,4.27,9.568
88,Premium,H,IF,4.45,4.43,2.74,6.918
89,Very Good,I,SI1,5.07,5.11,3.23,6.974
90,Premium,F,VS2,4.32,4.27,2.7,6.687
91,Very Good,H,SI1,5.73,5.76,3.49,7.726
92,Premium,E,SI1,4.56,4.5,2.77,6.669
93,Ideal,G,VVS1,4.37,4.39,2.68,6.649
94,Premium,I,VS1,4.3,4.27,2.64,6.41
95,Ideal,D,VS2,5.25,5.23,3.24,7.621
96,Ideal,I,VS2,4.66,4.69,2.87,6.515
97,Very Good,F,VVS1,6.64,6.61,4.04,9.231
98,Ideal,H,VVS1,6.97,7.01,4.31,9.078
99,Ideal,G,SI1,6.58,6.55,4.06,8.585
100,Premium,J,VS1,7.29,7.19,4.55,9.131
101,Very Good,D,VVS2,4.69,4.73,2.89,6.962
102,Very Good,H,SI1,6.34,6.44,4.0,8.382
103,Premium,D,SI1,6.18,6.11,3.82,8.436
104,Premium,H,SI1,8.01,7.98,4.77,9.54
105,Premium,J,SI1,6.08,6.06,3.59,7.696
106,Good,E,SI2,7.46,7.57,4.58,9.287
107,Premium,G,IF,6.79,6.68,4.1,9.119
108,Ideal,F,VVS2,4.4,4.43,2.7,6.574
109,Ideal,G,VS1,4.35,4.4,2.67,6.465
110,Premium,I,VS2,6.8,6.75,4.26,8.639
111,Good,F,VS2,5.6,5.63,3.53,7.86
112,Premium,F,SI2,6.57,6.53,4.05,8.443
113,Ideal,G,VS1,4.45,4.48,2.74,6.55
114,Premium,D,VVS2,4.78,4.74,2.89,7.188
115,Good,F,VS2,5.01,5.07,3.19,7.27
116,Good,D,SI2,5.2,5.12,3.02,6.865
117,Ideal,F,SI2,5.3,5.33,3.26,7.154
118,Ideal,D,VS2,4.87,4.84,2.9,7.071
119,Premium,I,SI1,6.6,6.58,3.85,8.098
120,Ideal,E,VS1,5.22,5.2,3.26,7.508
121,Ideal,F,VS2,4.33,4.31,2.64,6.654
122,Premium,G,SI1,6.11,6.02,3.82,8.236
123,Ideal,I,SI2,5.46,5.49,3.34,7.245
124,Very Good,H,SI2,6.86,6.9,4.28,8.655
125,Premium,H,VS1,7.02,6.96,4.12,8.893
126,Premium,E,VS2,4.77,4.81,2.84,6.816
127,Ideal,E,SI2,4.49,4.52,2.76,6.118
128,Premium,H,VS2,6.51,6.46,3.92,8.514
129,Ideal,E,SI1,7.55,7.5,4.59,9.515
130,Ideal,I,SI1,8.27,8.2,4.93,9.748
131,Ideal,D,VS2,4.42,4.46,2.71,6.631
132,Very Good,J,VS2,8.09,8.12,4.93,9.476
133,Ideal,E,VS1,6.94,6.98,4.3,9.379
134,Very Good,F,SI1,7.2,7.16,4.55,9.302
135,Ideal,F,SI2,5.16,5.13,3.13,7.093
136,Ideal,I,SI1,7.4,7.37,4.51,9.029
137,Premium,G,VS2,5.51,5.46,3.41,7.508
138,Premium,J,SI2,7.83,7.72,4.6,8.943
139,Ideal,G,VS1,5.21,5.24,3.22,7.451
140,Very Good,E,SI1,6.38,6.34,4.03,8.518
141,Ideal,G,SI2,6.96,6.99,4.28,8.681
142,Ideal,H,VS2,5.11,5.14,3.16,7.394
143,Very Good,G,VVS2,5.67,5.72,3.44,7.701
144,Very Good,F,VS2,6.37,6.43,4.01,8.726
145,Ideal,G,VS2,4.34,4.37,2.7,6.299
146,Ideal,F,IF,4.38,4.44,2.65,7.052
147,Ideal,F,VVS1,5.33,5.38,3.3,7.911
148,Very Good,F,SI1,4.69,4.66,2.95,6.782
149,Ideal,G,VS1,6.15,6.19,3.83,8.62
150,Premium,F,SI1,7.32,7.27,4.53,9.079
151,Premium,D,VS1,6.72,6.77,4.16,9.204
152,Very Good,D,VS1,7.28,7.32,4.47,9.705
153,Very Good,E,SI1,6.14,6.2,3.81,8.307
154,Good,F,VVS2,5.76,5.72,3.52,8.054
155,Ideal,D,VS2,5.77,5.82,3.5,8.05
156,Ideal,J,VS2,7.39,7.46,4.63,8.963
157,Very Good,G,VS2,5.64,5.7,3.58,7.853
158,Very Good,G,VVS1,5.19,5.22,3.18,7.656
159,Very Good,J,VS1,5.61,5.65,3.61,7.597
160,Ideal,I,SI1,6.62,6.67,4.11,8.457
161,Premium,I,SI1,6.93,6.85,4.29,8.646
162,Very Good,D,SI1,3.95,4.01,2.51,6.163
163,Very Good,H,SI2,6.44,6.48,4.07,8.333
164,Premium,G,SI2,6.34,6.39,3.98,8.354
165,Premium,D,SI2,5.71,5.68,3.52,7.706
166,Premium,E,VS2,4.81,4.85,2.94,6.865
167,Ideal,H,VVS1,4.51,4.56,2.77,6.621
168,Ideal,E,SI2,6.72,6.68,4.1,8.586
169,Very Good,J,SI1,7.49,7.62,4.65,8.98
170,Very Good,H,VS1,5.87,5.9,3.74,8.04
171,Ideal,G,VVS2,5.97,6.04,3.71,8.325
172,Fair,H,I1,6.98,6.94,4.64,8.497
173,Premium,I,SI2,8.24,8.16,5.02,9.637
174,Ideal,I,VS2,7.41,7.35,4.62,9.131
175,Ideal,E,VVS2,4.42,4.45,2.72,6.658
176,Ideal,E,VS2,5.28,5.24,3.26,7.447
177,Premium,I,SI1,4.3,4.27,2.64,6.227
178,Very Good,J,SI1,7.55,7.59,4.51,8.912
179,Good,E,VS1,5.69,5.72,3.48,7.99
180,Very Good,E,VS2,4.28,4.31,2.64,6.461
181,Premium,G,VS2,4.49,4.47,2.69,6.611
182,Premium,E,SI2,5.79,5.74,3.56,7.662
183,Premium,G,VS1,5.8,5.74,3.42,7.822
184,Very Good,D,VS1,6.39,6.48,4.01,9.011
185,Good,H,VS2,4.46,4.5,2.83,6.286
186,Premium,H,SI1,6.37,6.4,3.96,8.476
187,Good,E,SI1,4.31,4.33,2.74,6.299
188,Ideal,E,SI1,6.69,6.66,4.11,8.773
189,Very Good,H,SI1,6.3,6.37,3.92,8.508
190,Ideal,G,VS1,4.4,4.42,2.74,6.501
191,Premium,G,SI1,5.28,5.22,3.26,7.186
192,Premium,H,VS1,6.85,6.81,4.19,8.799
193,Premium,G,SI1,7.32,7.3,4.5,9.282
194,Very Good,E,VS2,5.21,5.28,3.21,7.442
195,Premium,I,VS1,4.39,4.35,2.68,6.474
196,Premium,G,VS1,4.49,4.43,2.74,6.75
197,Ideal,G,VVS2,5.19,5.22,3.23,7.593
198,Ideal,E,IF,4.31,4.34,2.67,6.849
199,Premium,J,SI1,4.38,4.36,2.66,6.142
200,Good,F,VS1,4.86,4.9,2.83,6.792
201,Ideal,H,SI1,5.72,5.76,3.57,7.807
202,Ideal,H,VVS1,4.86,4.89,3.0,7.169
203,Very Good,F,SI1,6.23,6.3,3.83,8.267
204,Fair,E,VVS2,4.14,4.18,2.77,6.373
205,Premium,G,VS2,6.41,6.38,3.99,8.717
206,Premium,G,SI2,7.34,7.28,4.54,8.868
207,Premium,E,VS2,5.38,5.33,3.27,7.53
208,Ideal,D,SI1,4.41,4.44,2.76,6.41
209,Very Good,D,VS1,5.04,5.0,3.17,7.447
210,Premium,G,VS1,6.75,6.69,4.23,8.695
211,Very Good,I,SI1,5.62,5.67,3.51,7.672
212,Ideal,F,VS1,4.68,4.64,2.91,6.906
213,Ideal,D,SI1,4.87,4.82,2.98,6.97
214,Ideal,D,VVS2,4.79,4.81,2.98,7.19
215,Ideal,E,VS2,4.36,4.34,2.69,6.771
216,Very Good,F,SI2,6.44,6.5,4.03,8.338
217,Ideal,E,SI1,6.92,6.96,4.27,9.056
218,Ideal,D,SI1,4.29,4.33,2.68,6.314
219,Premium,E,VS2,7.47,7.43,4.58,9.406
220,Premium,F,VS2,4.87,4.84,2.96,6.875
221,Good,F,SI1,5.12,5.19,3.07,7.102
222,Very Good,G,VVS1,4.13,4.15,2.6,6.339
223,Very Good,D,VS2,5.85,5.91,3.66,8.207
224,Good,E,VS1,5.14,5.18,3.26,7.482
225,Ideal,G,SI2,6.49,6.53,4.04,8.515
226,Very Good,F,VS1,4.68,4.64,2.94,6.844
227,Ideal,G,SI1,5.36,5.29,3.38,7.227
228,Very Good,E,SI2,6.53,6.48,4.13,8.223
229,Ideal,H,VS2,6.79,6.74,4.25,8.68
230,Premium,D,SI1,4.74,4.7,2.91,6.898
231,Ideal,D,SI2,4.77,4.72,2.97,6.735
232,Ideal,D,SI1,4.4,4.37,2.75,6.628
233,Premium,E,SI1,5.52,5.39,3.19,7.249
234,Very Good,J,SI2,6.6,6.63,4.09,8.362
235,Good,F,VS1,5.83,5.85,3.39,7.847
236,Very Good,F,VS1,4.48,4.52,2.66,6.649
237,Premium,E,VS1,4.02,4.04,2.48,6.075
238,Ideal,E,VS2,4.02,4.06,2.5,6.282
239,Premium,D,SI1,6.38,6.32,3.97,8.679
240,Very Good,F,VS1,5.65,5.69,3.56,8.024
241,Ideal,G,VS2,4.39,4.37,2.69,6.579
242,Ideal,E,VS1,5.14,5.1,3.21,7.472
